School,LocCity,MailCity,County,Teachers,Grade7,Grade8,Grade9,Grade10,Grade11,Grade12,Ungraded,PreTotal,ElemTotal,HSTotal,STRatio
MANNFORD LOWER ES,MANNFORD,MANNFORD,CREEK COUNTY,17.3,,,,,,,,,300,,17.34
MANNFORD MS,MANNFORD,MANNFORD,CREEK COUNTY,18.3,109,114,,,,,,,338,,18.47
MANNFORD UPPER ES,MANNFORD,MANNFORD,CREEK COUNTY,10.6,,,,,,,,,198,,18.68
MANNSVILLE PUBLIC SCHOOL,MANNSVILLE,MANNSVILLE,JOHNSTON COUNTY,8.7,6,10,,,,,,34,71,,12.07
MAPLE PUBLIC SCHOOL,CALUMET,CALUMET,CANADIAN COUNTY,10.6,16,11,,,,,,28,129,,14.81
MARBLE CITY PUBLIC SCHOOL,MARBLE CITY,MARBLE CITY,SEQUOYAH COUNTY,15.1,15,15,,,,,,29,110,,9.21
MARCUS GARVEY LEADERSHIP CS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,11.6,10,10,,,,,,42,145,,16.12
MARIETTA ES,MARIETTA,MARIETTA,LOVE COUNTY,27.3,,,,,,,,150,346,,18.17
MARIETTA HS,MARIETTA,MARIETTA,LOVE COUNTY,18.9,,,86,64,71,62,,,,283,14.97
MARIETTA MS,MARIETTA,MARIETTA,LOVE COUNTY,13.2,72,59,,,,,,,200,,15.15
MARK TWAIN ES,DUNCAN,DUNCAN,STEPHENS COUNTY,12,,,,,,,,42,198,,20
MARK TWAIN ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,17.5,,,,,,,,66,219,,16.29
MARK TWAIN ES,TULSA,TULSA,TULSA COUNTY,27.5,,,,,,,,118,304,,15.35
MARLOW ES,MARLOW,MARLOW,STEPHENS COUNTY,41,,,,,,,,197,518,,17.44
MARLOW HS,MARLOW,MARLOW,STEPHENS COUNTY,25.2,,,103,83,85,87,,,,358,14.21
MARLOW MS,MARLOW,MARLOW,STEPHENS COUNTY,17.9,92,88,,,,,,,282,,15.75
MARRS ES,SKIATOOK,SKIATOOK,OSAGE COUNTY,35,,,,,,,,317,406,,20.66
MARSHALL ES,TULSA,TULSA,TULSA COUNTY,31.4,,,,,,,,129,307,,13.89
MARSHALL ES,CHECOTAH,CHECOTAH,MCINTOSH COUNTY,24.6,,,,,,,1,209,215,,17.28
MARSHALL T. MOORE ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,29.3,,,,,,,,128,378,,17.27
MARY WHITE ES,HASKELL,HASKELL,MUSKOGEE COUNTY,28,,,,,,,,120,325,,15.89
MARYETTA PUBLIC SCHOOL,STILWELL,STILWELL,ADAIR COUNTY,48.5,68,39,,,,,,166,506,,13.86
MASON ES,MASON,MASON,OKFUSKEE COUNTY,10.7,16,13,,,,,,33,112,,13.55
MASON HS,MASON,MASON,OKFUSKEE COUNTY,7.4,,,16,19,19,17,,,,71,9.59
MAUD ES,MAUD,MAUD,POTTAWATOMIE COUNTY,15.5,21,30,,,,,,28,202,,14.84
MAUD HS,MAUD,MAUD,POTTAWATOMIE COUNTY,7.3,,,27,21,10,13,,,,71,9.73
MAYFIELD MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,44,214,213,,,,,,,653,,14.84
MAYO DEMONSTRATION ES,TULSA,TULSA,TULSA COUNTY,13.7,,,,,,,,63,148,,15.4
MAYSVILLE ES,MAYSVILLE,MAYSVILLE,GARVIN COUNTY,16.7,22,28,,,,,,59,211,,16.17
MAYSVILLE HS,MAYSVILLE,MAYSVILLE,GARVIN COUNTY,12.5,,,36,33,34,31,,,,134,10.72
MAZIE ES,MAZIE,CHOUTEAU,MAYES COUNTY,5.7,8,8,,,,,,9,72,,14.21
MCALESTER HS,MCALESTER,MCALESTER,PITTSBURG COUNTY,53.1,,,241,215,236,201,7,,,893,16.95
MCAULIFFE ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,37.9,,,,,,,,172,458,,16.62
MCCALL MS,ATOKA,ATOKA,ATOKA COUNTY,14.7,55,50,,,,,,,159,,10.82
MCCLURE ES,TULSA,TULSA,TULSA COUNTY,26.1,,,,,,,,88,347,,16.67
MCCORD PUBLIC SCHOOL,PONCA CITY,PONCA CITY,OSAGE COUNTY,15,,,,,,,,63,182,,16.33
MCCURTAIN ES,MCCURTAIN,MCCURTAIN,HASKELL COUNTY,12.4,22,11,,,,,,34,150,,14.84
MCCURTAIN HS,MCCURTAIN,MCCURTAIN,HASKELL COUNTY,6.7,,,19,16,19,17,,,,71,10.6
MCINTOSH ES,CHELSEA,CHELSEA,ROGERS COUNTY,20,,,,,,,,109,198,,15.35
MCKINLEY ES,TULSA,TULSA,TULSA COUNTY,31.5,,,,,,,,128,330,,14.54
MCKINLEY ES,ENID,ENID,GARFIELD COUNTY,20.9,,,,,,,,117,258,,17.94
MCKINLEY ES,NORMAN,NORMAN,CLEVELAND COUNTY,20.8,,,,,,,,68,235,,14.57
MCLAIN HS FOR SCI./TECHNOLOGY,TULSA,TULSA,TULSA COUNTY,39.8,,,134,108,106,99,,,,447,11.23
MCLISH MS,STONEWALL,STONEWALL,PONTOTOC COUNTY,5.9,30,24,,,,,2,,115,,19.83
MCLOUD ES,MCLOUD,MCLOUD,POTTAWATOMIE COUNTY,55.7,,,,,,,,249,741,,17.77
MCLOUD HS,MCLOUD,MCLOUD,POTTAWATOMIE COUNTY,36.8,,,165,140,143,114,,,,562,15.27
MCLOUD JHS,MCLOUD,MCLOUD,POTTAWATOMIE COUNTY,22.1,113,142,,,,,,,255,,11.54
MCMURRAY ES,SENTINEL,SENTINEL,WASHITA COUNTY,17.2,24,24,,,,,2,45,191,,13.84
MEDFORD ES,MEDFORD,MEDFORD,GRANT COUNTY,13.3,13,12,,,,,,25,128,,11.5
MEDFORD HS,MEDFORD,MEDFORD,GRANT COUNTY,9.1,,,18,19,17,16,,,,70,7.69
MEEKER ES,MEEKER,MEEKER,LINCOLN COUNTY,22,,,,,,,,94,301,,17.95
MEEKER HS,MEEKER,MEEKER,LINCOLN COUNTY,18.3,,,104,76,82,57,,,,319,17.43
MEEKER MS,MEEKER,MEEKER,LINCOLN COUNTY,15.7,58,61,,,,,,,186,,11.85
MEMORIAL HS,EDMOND,EDMOND,OKLAHOMA COUNTY,101.2,,,517,515,524,465,20,,,2021,20.17
MEMORIAL HS,TULSA,TULSA,TULSA COUNTY,69.5,,,419,320,266,204,,,,1209,17.4
MERRITT ES,ELK CITY,ELK CITY,BECKHAM COUNTY,24.5,44,38,,,,,,84,334,,17.06
MERRITT HS,ELK CITY,ELK CITY,BECKHAM COUNTY,12,,,35,39,30,31,,,,135,11.25
MIAMI HS,MIAMI,MIAMI,OTTAWA COUNTY,45.1,,,187,177,162,200,,,,726,16.1
MIDDLEBERG PUBLIC SCHOOL,BLANCHARD,BLANCHARD,GRADY COUNTY,14.7,21,21,,,,,,44,155,,13.54
MIDWAY ES,HITCHITA,HITCHITA,MCINTOSH COUNTY,8.5,12,13,,,,,,22,106,,15.06
MIDWAY HS,COUNCIL HILL,COUNCIL HILL,MUSKOGEE COUNTY,7,,,13,20,13,27,,,,73,10.43
MIDWEST CITY HS,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,86.9,,,391,420,431,348,23,,,1590,18.56
MILBURN ES,MILBURN,MILBURN,JOHNSTON COUNTY,11.9,13,18,,,,,,28,107,,11.34
MILBURN HS,MILBURN,MILBURN,JOHNSTON COUNTY,5,,,13,17,18,12,,,,60,12
MILFAY PUBLIC SCHOOL,MILFAY,MILFAY,CREEK COUNTY,4.6,,,,,,,,18,45,,13.7
MILL CREEK ES,MILL CREEK,MILL CREEK,JOHNSTON COUNTY,8,12,14,,,,,,22,85,,13.38
MILL CREEK HS,MILL CREEK,MILL CREEK,JOHNSTON COUNTY,4.7,,,15,10,15,12,,,,52,11.06
MILLS ES,OWASSO,OWASSO,TULSA COUNTY,28,,,,,,,,88,409,,17.75
MILLWOOD ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,47.9,85,83,,,,,,151,673,,17.2
MILLWOOD HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,17.7,,,98,62,56,53,,,,269,15.2
MINCO ES,MINCO,MINCO,GRADY COUNTY,15.6,,,,,,,,81,196,,17.76
MINCO HS,MINCO,MINCO,GRADY COUNTY,11.2,,,43,31,42,30,,,,146,13.04
MINCO MS,MINCO,MINCO,GRADY COUNTY,7.5,43,48,,,,,,,132,,17.6
MISSION ES,ANADARKO,ANADARKO,CADDO COUNTY,21.4,,,,,,,,117,281,,18.6
MISSION INTERMEDIATE GRD CTR,COWETA,COWETA,WAGONER COUNTY,24.3,,,,,,,,,371,,15.27
MITCHELL ES,TULSA,TULSA,TULSA COUNTY,27.2,,,,,,,,122,341,,17.02
MOFFETT PUBLIC SCHOOL,MOFFETT,MOFFETT,SEQUOYAH COUNTY,22,17,15,,,,,,129,248,,17.14
MONROE ES,ENID,ENID,GARFIELD COUNTY,29.7,,,,,,,1,141,340,,16.23
MONROE ES,NORMAN,NORMAN,CLEVELAND COUNTY,28.5,,,,,,,,88,299,,13.58
MONROE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,23.3,,,,,,,,145,270,,17.81
MONROE PUBLIC SCHOOL,MONROE,MONROE,LE FLORE COUNTY,8.3,8,8,,,,,,33,101,,16.14
MONRONEY MS,MIDWEST CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,46,202,174,,,,,29,,575,,13.13
MOORE HS,MOORE,MOORE,CLEVELAND COUNTY,123.6,,,606,564,530,465,,,,2165,17.52
MOORELAND ES,MOORELAND,MOORELAND,WOODWARD COUNTY,23.4,38,40,,,,,,69,303,,15.9
MORRIS ES,MORRIS,MORRIS,OKMULGEE COUNTY,24.2,,,,,,,,132,341,,19.55
MORRIS HS,MORRIS,MORRIS,OKMULGEE COUNTY,22.6,,,89,85,77,78,,,,329,14.56
MORRIS MS,MORRIS,MORRIS,OKMULGEE COUNTY,13.5,75,69,,,,,,,210,,15.56
MORRISON ES,MORRISON,MORRISON,NOBLE COUNTY,18.6,,,,,,,,76,217,,15.75
MORRISON HS,MORRISON,MORRISON,NOBLE COUNTY,10.7,,,42,27,41,25,,,,135,12.62
MORRISON MS,MORRISON,MORRISON,NOBLE COUNTY,7.9,53,33,,,,,,,122,,15.44
MOSELEY PUBLIC SCHOOL,COLCORD,COLCORD,DELAWARE COUNTY,18.9,28,39,,,,,,78,226,,16.08
MOSS ES,HOLDENVILLE,HOLDENVILLE,HUGHES COUNTY,11.5,24,26,,,,,,34,168,,17.57
MOSS HS,HOLDENVILLE,HOLDENVILLE,HUGHES COUNTY,5.4,,,17,23,21,14,,,,75,13.89
MOUNDS ES,MOUNDS,MOUNDS,CREEK COUNTY,27,47,49,,,,,,82,404,,18
MOUNDS HS,MOUNDS,MOUNDS,CREEK COUNTY,13.5,,,57,56,54,49,,,,216,16
MOUNTAIN VIEW-GOTEBO ES,MOUNTAIN VIEW,MOUNTAIN VIEW,KIOWA COUNTY,15.1,13,20,,,,,,32,139,,11.32
MOUNTAIN VIEW-GOTEBO HS,MOUNTAIN VIEW,MOUNTAIN VIEW,KIOWA COUNTY,8.6,,,11,16,15,17,,,,59,6.86
MOYERS ES,MOYERS,MOYERS,PUSHMATAHA COUNTY,10.8,12,11,,,,,,27,90,,10.83
MOYERS HS,MOYERS,MOYERS,PUSHMATAHA COUNTY,5.3,,,8,16,18,10,,,,52,9.81
MULDROW ES,MULDROW,MULDROW,SEQUOYAH COUNTY,45.4,,,,,,,,199,466,,14.65
MULDROW HS,MULDROW,MULDROW,SEQUOYAH COUNTY,34.9,,,146,159,128,125,,,,558,15.99
MULDROW MS,MULDROW,MULDROW,SEQUOYAH COUNTY,30.1,113,117,,,,,,,465,,15.45
MULHALL-ORLANDO ES,MULHALL,MULHALL,LOGAN COUNTY,11.7,21,16,,,,,,37,136,,14.79
MULHALL-ORLANDO HS,ORLANDO,ORLANDO,LOGAN COUNTY,7.5,,,21,18,11,19,,,,69,9.2
MUSKOGEE EC CTR,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,20,,,,,,,,371,,,18.55
MUSKOGEE HS,MUSKOGEE,MUSKOGEE,MUSKOGEE COUNTY,96.1,,,526,428,373,312,2,,,1639,17.08
MUSTANG CENTENNIAL ES,MUSTANG,MUSTANG,CANADIAN COUNTY,33.8,,,,,,,,129,430,,16.54
MUSTANG CREEK ES,YUKON,MUSTANG,CANADIAN COUNTY,39.6,,,,,,,,96,566,,16.72
MUSTANG EDUCATION CTR,MUSTANG,MUSTANG,CANADIAN COUNTY,12.1,,,,,,,,356,,,29.42
MUSTANG ES,MUSTANG,MUSTANG,CANADIAN COUNTY,35.6,,,,,,,,108,566,,18.93
MUSTANG HS,MUSTANG,MUSTANG,CANADIAN COUNTY,97.1,,,,655,583,512,,,,1750,18.02
MUSTANG LAKEHOMA ES,MUSTANG,MUSTANG,CANADIAN COUNTY,35.5,,,,,,,,97,556,,18.39
MUSTANG MHS,MUSTANG,MUSTANG,CANADIAN COUNTY,34.4,,,685,,,,,,,685,19.91
MUSTANG MS,MUSTANG,MUSTANG,CANADIAN COUNTY,54.8,354,316,,,,,,,1003,,18.3
MUSTANG NORTH MS,YUKON,MUSTANG,CANADIAN COUNTY,54,337,324,,,,,,,1008,,18.67
MUSTANG TRAILS ES,YUKON,MUSTANG,CANADIAN COUNTY,43.6,,,,,,,,154,625,,17.87
MUSTANG VALLEY ES,OKLAHOMA CITY,MUSTANG,CANADIAN COUNTY,36.2,,,,,,,,87,613,,19.34
MYERS ES,YUKON,YUKON,CANADIAN COUNTY,25.5,,,,,,,,100,338,,17.18
NANCE ES,CLINTON,CLINTON,CUSTER COUNTY,26.9,,,,,,,,341,171,,19.03
NASHOBA PUBLIC SCHOOL,NASHOBA,NASHOBA,PUSHMATAHA COUNTY,5.9,4,7,,,,,,13,37,,8.47
NATHAN HALE HS,TULSA,TULSA,TULSA COUNTY,53.4,,,445,240,203,111,,,,999,18.71
NAVAJO ES,ALTUS,ALTUS,JACKSON COUNTY,18.1,,,,,,,,47,219,,14.7
NAVAJO HS,ALTUS,ALTUS,JACKSON COUNTY,10.6,,,,36,32,28,,,,96,9.06
NAVAJO JHS,ALTUS,ALTUS,JACKSON COUNTY,5.4,38,42,44,,,,,,80,44,22.96
NEW LIMA ES,WEWOKA,WEWOKA,SEMINOLE COUNTY,12.6,19,15,,,,,,28,165,,15.32
NEW LIMA HS,WEWOKA,WEWOKA,SEMINOLE COUNTY,8.5,,,29,27,27,17,,,,100,11.76
NEWCASTLE ES,NEWCASTLE,NEWCASTLE,MCCLAIN COUNTY,50.9,,,,,,,,238,619,,16.84
NEWCASTLE HS,NEWCASTLE,NEWCASTLE,MCCLAIN COUNTY,30.8,,,142,130,110,102,2,,,484,15.78
NEWCASTLE MS,NEWCASTLE,NEWCASTLE,MCCLAIN COUNTY,19.7,131,126,,,,,,,371,,18.83
NEWKIRK ES,NEWKIRK,NEWKIRK,KAY COUNTY,20.3,,,,,,,,91,216,,15.12
NEWKIRK HS,NEWKIRK,NEWKIRK,KAY COUNTY,17.3,,,73,63,60,67,,,,263,15.2
NEWKIRK MS,NEWKIRK,NEWKIRK,KAY COUNTY,14.6,61,49,,,,,,,205,,14.04
NEWMAN MS,SKIATOOK,SKIATOOK,OSAGE COUNTY,33.1,197,193,,,,,,,564,,17.04
NICHOLS ES,MIAMI,MIAMI,OTTAWA COUNTY,15.9,,,,,,,56,156,219,,27.11
NICHOLS HILLS ES,OKLAHOMA CITY,NICHOLS HILLS,OKLAHOMA COUNTY,23.1,,,,,,,,75,358,,18.74
NICOMA PARK ES,NICOMA PARK,NICOMA PARK,OKLAHOMA COUNTY,19.9,,,,,,,,190,221,,20.65
NICOMA PARK INTERMEDIATE ES,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,19,,,,,,,,,314,,16.53
NICOMA PARK MS,CHOCTAW,CHOCTAW,OKLAHOMA COUNTY,36.5,176,185,,,,,1,,555,,15.23
NIMITZ MS,TULSA,TULSA,TULSA COUNTY,27.6,132,103,,,,,,,348,,12.61
NINNEKAH ES,NINNEKAH,NINNEKAH,GRADY COUNTY,17.5,,,,,,,,75,241,,18.06
NINNEKAH JHS,NINNEKAH,NINNEKAH,GRADY COUNTY,3.4,26,39,,,,,,,65,,19.12
NOBLE HS,NOBLE,NOBLE,CLEVELAND COUNTY,47.8,,,226,216,192,182,,,,816,17.07
NORMAN HS,NORMAN,NORMAN,CLEVELAND COUNTY,107.2,,,488,436,391,365,,,,1680,15.67
NORMAN NORTH HS,NORMAN,NORMAN,CLEVELAND COUNTY,121.4,,,607,563,480,463,,,,2113,17.41
NORTH 4TH- 5TH & 6TH GRADE CTR,BIXBY,BIXBY,TULSA COUNTY,34.7,,,,,,,,,654,,18.85
NORTH HIGHLAND ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,14.6,,,,,,,,85,200,,19.52
NORTH HS,EDMOND,EDMOND,OKLAHOMA COUNTY,114,,,621,644,604,489,,,,2358,20.68
NORTH PARK ES,GUYMON,GUYMON,TEXAS COUNTY,27.8,,,,,,,,,433,,15.58
NORTH ROCK CREEK PUBLIC SCHOOL,SHAWNEE,SHAWNEE,POTTAWATOMIE COUNTY,36.9,54,58,,,,,,105,457,,15.23
NORTHEAST ES,OWASSO,OWASSO,TULSA COUNTY,32.1,,,,,,,,85,457,,16.88
NORTHEAST ES,GUYMON,GUYMON,TEXAS COUNTY,12.3,,,,,,,,62,114,,14.31
NORTHEAST ES,ELK CITY,ELK CITY,BECKHAM COUNTY,21.6,,,,,,,,,387,,17.92
NORTHEAST HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,16.3,,,46,53,57,45,,,,201,12.33
NORTHEAST MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,12.1,53,36,,,,,,,137,,11.32
NORTHERN HILLS ES,EDMOND,EDMOND,OKLAHOMA COUNTY,42.1,,,,,,,,198,578,,18.43
NORTHMOOR ES,MOORE,MOORE,CLEVELAND COUNTY,22.6,,,,,,,,139,309,,19.82
NORTHRIDGE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,36.7,,,,,,,,154,521,,18.39
NORTHWEST CLASSEN HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,76.2,,,301,296,234,237,2,,,1068,14.04
NORTHWEST ES,COWETA,COWETA,WAGONER COUNTY,21,,,,,,,,127,209,,16
NORTHWEST HEIGHTS ES,DURANT,DURANT,BRYAN COUNTY,32,,,,,,,,243,336,,18.09
NORTHWOOD ES,SEMINOLE,SEMINOLE,SEMINOLE COUNTY,22.8,,,,,,,,,378,,16.58
NORTHWOOD ES,PIEDMONT,PIEDMONT,CANADIAN COUNTY,22.5,,,,,,,,62,352,,18.4
NORWOOD PUBLIC SCHOOL,HULBERT,HULBERT,CHEROKEE COUNTY,14.1,10,21,,,,,,46,131,,12.55
NOWATA ES,NOWATA,NOWATA,NOWATA COUNTY,36,,,,,,,,140,388,,14.67
NOWATA HS,NOWATA,NOWATA,NOWATA COUNTY,18.7,,,67,64,69,65,3,,,265,14.33
NOWATA MS,NOWATA,NOWATA,NOWATA COUNTY,16.9,77,62,,,,,,,213,,12.6
OAK CREST ES,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,32.1,,,,,,,,121,419,,16.82
OAK GROVE PUBLIC SCHOOL,CUSHING,CUSHING,PAYNE COUNTY,11,13,11,,,,,,38,147,,16.82
OAK PARK ES,BARTLESVILLE,BARTLESVILLE,WASHINGTON COUNTY,21.3,,,,,,,,84,182,,12.49
OAKDALE PUBLIC SCHOOL,EDMOND,EDMOND,OKLAHOMA COUNTY,32.7,54,54,,,,,,86,471,,17.03
OAKES ELEMENTARY,OKEMAH,OKEMAH,OKFUSKEE COUNTY,20.9,,,,,,,,139,178,,15.17
OAKRIDGE ES,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,14.7,,,,,,,,97,167,,17.96
OAKRIDGE ES,MOORE,MOORE,OKLAHOMA COUNTY,31,,,,,,,,139,454,,19.13
OAKS-MISSION ES,OAKS,OAKS,DELAWARE COUNTY,12.3,23,15,,,,,,27,137,,13.33
OAKS-MISSION HS,OAKS,OAKS,DELAWARE COUNTY,8.6,,,30,25,32,26,,,,113,13.14
OBUCH MS,ANTLERS,ANTLERS,PUSHMATAHA COUNTY,19.9,72,75,,,,,,,214,,10.75
OILTON HS,OILTON,OILTON,CREEK COUNTY,7.5,,,16,9,25,30,,,,80,10.67
OKARCHE ES,OKARCHE,OKARCHE,CANADIAN COUNTY,9.6,,,,,,,,49,113,,16.88
OKARCHE HS,OKARCHE,OKARCHE,KINGFISHER COUNTY,9.1,,,,22,24,28,,,,74,8.13
OKARCHE JHS,OKARCHE,OKARCHE,KINGFISHER COUNTY,4.8,17,19,23,,,,,,36,23,12.29
OKAY ES,OKAY,OKAY,WAGONER COUNTY,19.4,32,38,,,,,,52,251,,15.62
OKAY HS,OKAY,OKAY,WAGONER COUNTY,10.1,,,34,35,44,30,,,,143,14.16
OKEENE ES,OKEENE,OKEENE,BLAINE COUNTY,10.3,,,,,,,,52,135,,18.16
OKEENE JR-SR HS (JR),OKEENE,OKEENE,BLAINE COUNTY,2.3,19,27,,,,,,,46,,20
OKEENE JR-SR HS (SR),OKEENE,OKEENE,BLAINE COUNTY,9,,,20,21,29,31,,,,101,11.22
OKEMAH HS,OKEMAH,OKEMAH,OKFUSKEE COUNTY,18.5,,,84,69,64,74,,,,291,15.73
OKEMAH MS,OKEMAH,OKEMAH,OKFUSKEE COUNTY,15.2,79,77,,,,,,,218,,14.34
OKEMAH NOBLE CTR,OKEMAH,OKEMAH,OKFUSKEE COUNTY,7.8,,,,,,,,,120,,15.38
OKLAHOMA CENTENNIAL HS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,27.1,,,134,88,60,69,,,,351,12.95
OKLAHOMA CENTENNIAL MS,OKLAHOMA CITY,OKLAHOMA CITY,OKLAHOMA COUNTY,26,143,113,,,,,,,381,,14.65
OKLAHOMA SCHOOL FOR THE DEAF,SULPHUR,SULPHUR,MURRAY COUNTY,,16,13,,,,,,26,64,,
OKLAHOMA SCHOOL FOR THE DEAF,SULPHUR,SULPHUR,MURRAY COUNTY,,,,18,23,16,15,,,,72,
OKLAHOMA UNION ES,SOUTH COFFEYVILLE,S COFFEYVILLE,NOWATA COUNTY,20.6,,,,,,,,69,244,,15.19
OKLAHOMA UNION HS,SO. COFFEYVILLE,S COFFEYVILLE,NOWATA COUNTY,16.5,,,46,67,40,40,,,,193,11.7
OKLAHOMA UNION MS,SOUTH COFFEYVILLE,S COFFEYVILLE,NOWATA COUNTY,10.6,58,49,,,,,,,169,,15.94
OKMULGEE ES,OKMULGEE,OKMULGEE,OKMULGEE COUNTY,26.5,,,,,,,,,389,,14.68
OKMULGEE HS,OKMULGEE,OKMULGEE,OKMULGEE COUNTY,31,,,111,107,84,130,,,,432,13.94
OKMULGEE MS,OKMULGEE,OKMULGEE,OKMULGEE COUNTY,28,109,101,,,,,,,339,,12.11
OKMULGEE PRIMARY ES,OKMULGEE,OKMULGEE,OKMULGEE COUNTY,29.7,,,,,,,,263,274,,18.08
OKTAHA ES,OKTAHA,OKTAHA,MUSKOGEE COUNTY,30.6,46,58,,,,,,101,414,,16.83
OKTAHA HS,OKTAHA,OKTAHA,MUSKOGEE COUNTY,12.8,,,74,53,52,53,,,,232,18.13
OLIVE ES,DRUMRIGHT,DRUMRIGHT,CREEK COUNTY,18.8,28,29,,,,,,46,236,,15
OLIVE HS,DRUMRIGHT,DRUMRIGHT,CREEK COUNTY,9.3,,,34,29,22,23,,,,108,11.61
OLIVER MS,BROKEN ARROW,BROKEN ARROW,TULSA COUNTY,41,267,228,,,,,,,741,,18.07
OLUSTEE ES,OLUSTEE,OLUSTEE,JACKSON COUNTY,10.4,6,10,,,,,,17,95,,10.77
OLUSTEE HS,OLUSTEE,OLUSTEE,JACKSON COUNTY,5,,,17,15,12,13,,,,57,11.4
OOLOGAH-TALALA HS,OOLOGAH,OOLOGAH,ROGERS COUNTY,35,,,160,139,158,130,,,,587,16.77
OOLOGAH-TALALA LOWER ES,OOLOGAH,OOLOGAH,ROGERS COUNTY,25.3,,,,,,,,195,239,,17.15
OOLOGAH-TALALA MS,OOLOGAH,OOLOGAH,ROGERS COUNTY,25.4,150,137,,,,,,,425,,16.73
OOLOGAH-TALALA UPPER ES,OOLOGAH,OOLOGAH,ROGERS COUNTY,25.4,,,,,,,,,369,,14.53
OPTIMA PUBLIC SCHOOL,OPTIMA,OPTIMA,TEXAS COUNTY,6.4,,,,,,,,12,71,,12.97
ORVIS RISNER ES,EDMOND,EDMOND,OKLAHOMA COUNTY,41.2,,,,,,,,158,510,,16.21
OSAGE HILLS PUBLIC SCHOOL,BARTLESVILLE,BARTLESVILLE,OSAGE COUNTY,12.8,15,11,,,,,,37,144,,14.14
OSAGE PUBLIC SCHOOL,PRYOR,PRYOR,MAYES COUNTY,18.8,8,6,,,,,,50,182,,12.34
OVERHOLSER ES,BETHANY,BETHANY,OKLAHOMA COUNTY,30.6,,,,,,,,112,348,,15.03
OWASSO 6TH GRADE CTR,OWASSO,OWASSO,TULSA COUNTY,37.9,,,,,,,,,717,,18.92
OWASSO 7TH GRADE CTR,OWASSO,OWASSO,TULSA COUNTY,39.9,721,,,,,,,,721,,18.07
OWASSO 8TH GRADE CTR,OWASSO,OWASSO,TULSA COUNTY,34.9,,694,,,,,,,694,,19.89
OWASSO EC CTR,OWASSO,OWASSO,ROGERS COUNTY,8,,,,,,,,302,,,37.75
OWASSO HS,OWASSO,OWASSO,TULSA COUNTY,74.4,,,,,681,571,10,,,1252,16.96
OWASSO MHS,OWASSO,OWASSO,TULSA COUNTY,62.4,,,722,645,,,9,,,1367,22.05
OWEN ES,TULSA,TULSA,TULSA COUNTY,28.1,,,,,,,,123,371,,17.58
PADEN ES,PADEN,PADEN,OKFUSKEE COUNTY,10.3,18,19,,,,,,42,136,,17.28
PADEN HS,PADEN,PADEN,OKFUSKEE COUNTY,6.2,,,10,17,21,24,,,,72,11.61
PAMELA HODSON ES,OWASSO,OWASSO,ROGERS COUNTY,30,,,,,,,,85,451,,17.87
PANAMA HS,PANAMA,PANAMA,LE FLORE COUNTY,16.1,,,52,51,51,66,,,,220,13.66
PANAMA LOWER ES,PANAMA,PANAMA,LE FLORE COUNTY,16.9,,,,,,,,96,154,,14.79
PANAMA MS,PANAMA,PANAMA,LE FLORE COUNTY,7.1,66,42,,,,,,,108,,15.21
PANAMA UPPER ES,PANAMA,PANAMA,LE FLORE COUNTY,8,,,,,,,,,130,,16.25
PANOLA ES,PANOLA,PANOLA,LATIMER COUNTY,15.4,17,18,,,,,,20,149,,10.97
PANOLA HS,PANOLA,PANOLA,LATIMER COUNTY,9.1,,,28,14,20,16,,,,78,8.57
PANSY KIDD MS,POTEAU,POTEAU,LE FLORE COUNTY,32.6,175,155,,,,,2,,480,,14.79
PAOLI ES,PAOLI,PAOLI,GARVIN COUNTY,12.6,16,18,,,,,,24,147,,13.57
PAOLI HS,PAOLI,PAOLI,GARVIN COUNTY,7.7,,,28,15,18,30,,,,91,11.82
PARK ES,TULSA,TULSA,TULSA COUNTY,14.8,,,,,,,,78,174,,17.03
PARK LANE ES,BROKEN ARROW,BROKEN ARROW,WAGONER COUNTY,35.4,,,,,,,,155,541,,19.66
PARK LANE ES,LAWTON,LAWTON,COMANCHE COUNTY,14.9,,,,,,,,34,190,,15.03
